,stockname,avg_profit,num_trades,time_frame
0,JPASSOCIAT,4.651099987,7329,1d
1,GMRINFRA,3.389500674,6885,1d
2,SUZLON,6.234735031,7216,1d
3,IBREALEST,78.52379246,6497,1d
4,RELCAPITAL,144.4025507,7833,1d
5,DLF,35.88353652,7850,1d
6,IDFC,1.980156016,3645,1d
7,SOUTHBANK,3.994695681,6030,1d
8,IDFCBANK,1.42506263,2253,1d
9,BANKBARODA,14.97565204,5600,1d
10,MANAPPURAM,35.29764401,7382,1d
11,HINDALCO,19.42973047,7556,1d
12,TATASTEEL,59.80154692,6853,1d
13,JINDALSTEL,35.73030787,7849,1d
14,RCOM,3.287328826,3182,1d
15,HDIL,17.59632868,6429,1d
16,L_TFH,33.37952422,7848,1d
17,NMDC,7.422734345,1963,1d
18,ADANIPOWER,3.074919443,3221,1d
19,HCC,27.01455756,2995,1d
20,ICICIBANK,20.87128266,7574,1d
21,SUNTV,212.5266629,7277,1d
22,RELINFRA,53.59625241,4692,1d
23,PNB,19.09926011,6693,1d
24,JSWSTEEL,17.08395831,4781,1d
25,APOLLOTYRE,53.38438864,5807,1d
26,MOTHERSUMI,58.14707103,5729,1d
27,RECLTD,35.12155169,7825,1d
28,ONGC,3.402636864,758,1d
29,RPOWER,2.329557896,4379,1d
30,IDEA,20.58818173,4374,1d
31,JSWENERGY,2.957464768,5184,1d
32,IFCI,1.826852013,3552,1d
33,DHFL,112.1565723,7833,1d
34,TV18BRDCST,2.805548997,4984,1d
35,CANBK,41.27335098,7849,1d
36,BANKINDIA,23.72771388,7849,1d
37,ORIENTBANK,24.29135071,7133,1d
38,PFC,12.53644396,4543,1d
39,EXIDEIND,26.32057601,6974,1d
40,NCC,7.232326809,4745,1d
41,KTKBANK,30.76009239,7285,1d
42,BHARATFIN,108.0105398,5627,1d
43,M_MFIN,52.08219909,7377,1d
44,GRASIM,192.4453474,7298,1d
45,NATIONALUM,36.47158678,3953,1d
46,AXISBANK,33.70739173,7328,1d
47,UNIONBANK,17.17380761,6337,1d
48,AUROPHARMA,32.111114,2597,1d
49,INFIBEAM,582.2380684,4582,1d
50,BEL,71.32048531,1863,1d
51,FORTIS,94.92708185,4097,1d
52,ALBK,6.777088867,6455,1d
53,HINDPETRO,40.78006546,5344,1d
54,MRPL,52.05958382,5962,1d
55,TATAPOWER,3.960000585,6014,1d
56,PTC,12.94554233,7846,1d
57,NHPC,2.18225064,6071,1d
58,NTPC,6.328534321,1681,1d
59,IOC,38.52158858,7231,1d
60,BPCL,36.34997254,3969,1d
61,INFY,35.74488731,4998,1d
62,RELIANCE,350.4455223,6398,1d
63,DISHTV,9.929428419,4165,1d
64,JUSTDIAL,109.6654514,5642,1d
65,ITC,25.6120895,7567,1d
66,SYNDIBANK,7.916485961,6799,1d
67,TATAMTRDVR,13.56958842,1161,1d
68,CESC,159.3026162,7738,1d
69,GAIL,43.8431809,1973,1d
70,JISLJALEQS,6.948809904,5869,1d
71,COALINDIA,11.23997207,1959,1d
72,PCJEWELLER,63.09799792,4068,1d
73,ANDHRABANK,7.370464722,6718,1d
74,CGPOWER,80.79844063,8623,1d
75,POWERGRID,10.16814744,5794,1d
76,GSFC,41.53866742,7559,1d
77,AMBUJACEM,22.36971446,7453,1d
78,ADANIPORTS,44.96075067,7818,1d
79,SREINFRA,39.58573805,7195,1d
80,EQUITAS,71.25805419,5132,1d
81,IRB,19.47180709,5065,1d
82,DCBBANK,50.89483367,7835,1d
83,YESBANK,182.1596523,7845,1d
84,TVSMOTOR,106.7314249,7634,1d
85,RDEL,22.5167718,5923,1d
86,KOTAKBANK,147.1573816,7741,1d
87,SRTRANSFIN,55.66649435,6696,1d
88,UJJIVAN,187.722232,4848,1d
89,PETRONET,44.81019694,5254,1d
90,BALRAMCHIN,47.87660533,7750,1d
91,BHARTIARTL,39.791721,7680,1d
92,HDFCBANK,270.9311651,5819,1d
