,stockname,avg_profit,num_trades,time_frame
0,JPASSOCIAT,1.052842205,453,2w
1,GMRINFRA,0.102018846,63,2w
2,SUZLON,5.027249658,411,2w
3,IBREALEST,2.445352359,543,2w
4,RELCAPITAL,7.829991892,542,2w
5,DLF,5.916313271,543,2w
6,IDFC,1.76535227,510,2w
7,SOUTHBANK,0.606969752,494,2w
8,IDFCBANK,2.096000803,381,2w
9,BANKBARODA,6.505476902,516,2w
10,MANAPPURAM,23.91580757,474,2w
11,HINDALCO,9.107283211,507,2w
12,TATASTEEL,32.54040213,538,2w
13,JINDALSTEL,5.659353544,527,2w
14,RCOM,5.659353544,0,2w
15,HDIL,0.771449183,460,2w
16,L_TFH,4.134451533,543,2w
17,NMDC,7.474664248,543,2w
18,ADANIPOWER,3.081592055,543,2w
19,HCC,25.22496902,229,2w
20,ICICIBANK,9.747511787,514,2w
21,SUNTV,10.11404062,459,2w
22,RELINFRA,18.42935104,543,2w
23,PNB,6.661439702,499,2w
24,JSWSTEEL,6.661439702,0,2w
25,APOLLOTYRE,3.692973586,293,2w
26,MOTHERSUMI,3.238549034,458,2w
27,RECLTD,8.901029378,497,2w
28,ONGC,4.925365652,463,2w
29,RPOWER,1.305754248,521,2w
30,IDEA,0.508623872,35,2w
31,JSWENERGY,3.018434788,447,2w
32,IFCI,0.134294307,198,2w
33,DHFL,19.8204983,496,2w
34,TV18BRDCST,0.485747649,319,2w
35,CANBK,9.779565144,542,2w
36,BANKINDIA,4.140162248,525,2w
37,ORIENTBANK,5.045779414,517,2w
38,PFC,8.033042061,520,2w
39,EXIDEIND,2.293576339,382,2w
40,NCC,1.768675291,84,2w
41,KTKBANK,3.371357078,543,2w
42,BHARATFIN,29.29975496,542,2w
43,M_MFIN,8.167049444,510,2w
44,GRASIM,2.544168468,26,2w
45,NATIONALUM,26.2035545,392,2w
46,AXISBANK,12.90033144,436,2w
47,UNIONBANK,8.333244748,530,2w
48,AUROPHARMA,27.12879254,507,2w
49,INFIBEAM,580.0577053,279,2w
50,BEL,72.98503271,541,2w
51,FORTIS,63.53054491,452,2w
52,ALBK,2.351820617,536,2w
53,HINDPETRO,18.666942,541,2w
54,MRPL,30.85194878,539,2w
55,TATAPOWER,1.369712143,495,2w
56,PTC,5.557378262,515,2w
57,NHPC,1.376226358,358,2w
58,NTPC,5.809109903,265,2w
59,IOC,7.142320584,522,2w
60,BPCL,10.29923986,475,2w
61,INFY,5.001745289,59,2w
62,RELIANCE,5.14453433,188,2w
63,DISHTV,0.741217759,451,2w
64,JUSTDIAL,25.90387374,508,2w
65,ITC,3.455715409,525,2w
66,SYNDIBANK,1.763305565,467,2w
67,TATAMTRDVR,11.77279721,543,2w
68,CESC,21.11284596,435,2w
69,GAIL,4.113791507,384,2w
70,JISLJALEQS,1.654476135,534,2w
71,COALINDIA,6.366574561,386,2w
72,PCJEWELLER,13.99023961,381,2w
73,ANDHRABANK,0.751248315,417,2w
74,CGPOWER,0.751248315,0,2w
75,POWERGRID,6.792403846,422,2w
76,GSFC,35.39873359,543,2w
77,AMBUJACEM,1.271914959,128,2w
78,ADANIPORTS,15.00306883,543,2w
79,SREINFRA,23.765685,538,2w
80,EQUITAS,60.06372639,351,2w
81,IRB,7.39768792,543,2w
82,DCBBANK,3.431585073,530,2w
83,YESBANK,114.8471323,542,2w
84,TVSMOTOR,10.93132588,487,2w
85,RDEL,17.92180969,449,2w
86,KOTAKBANK,16.69475611,391,2w
87,SRTRANSFIN,39.61572246,543,2w
88,UJJIVAN,141.5201536,338,2w
89,PETRONET,2.525246786,86,2w
90,BALRAMCHIN,44.07431437,488,2w
91,BHARTIARTL,9.831321062,528,2w
92,HDFCBANK,35.95987891,320,2w
